Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
  11  6.9516E-06    0.213944    0.263343  0.2844 -0.2104  0.3987  0.2078  0.3042  0.3259  0.4086  0.2165  0.2691  0.2517  0.1530  0.1170  0.2084  0.0333  0.0440  0.0861  0.0775  0.1592  0.0349  0.0867
  12  5.2881E-06    0.208775    0.261248  0.2844 -0.2100  0.3988  0.2081  0.3035  0.3257  0.4081  0.2166  0.2678  0.2513  0.1529  0.1170  0.2094  0.0332  0.0435  0.0855  0.0769  0.1609  0.0343  0.0865
  13  4.1202E-06    0.204089    0.259204  0.2844 -0.2097  0.3989  0.2084  0.3030  0.3254  0.4076  0.2167  0.2666  0.2511  0.1528  0.1170  0.2104  0.0331  0.0430  0.0849  0.0763  0.1623  0.0339  0.0862
  14  3.2274E-06    0.200344    0.257849  0.2844 -0.2096  0.3990  0.2087  0.3026  0.3253  0.4072  0.2167  0.2658  0.2508  0.1527  0.1170  0.2111  0.0331  0.0427  0.0845  0.0759  0.1634  0.0335  0.0861
  15  2.3905E-06    0.197032    0.256284  0.2844 -0.2093  0.3991  0.2088  0.3022  0.3251  0.4068  0.2168  0.2650  0.2505  0.1527  0.1170  0.2118  0.0330  0.0424  0.0841  0.0754  0.1645  0.0332  0.0859
  16  1.7832E-06    0.194369    0.255120  0.2845 -0.2092  0.3992  0.2089  0.3020  0.3250  0.4066  0.2168  0.2644  0.2503  0.1527  0.1170  0.2124  0.0329  0.0421  0.0838  0.0751  0.1653  0.0329  0.0858
  17  1.0930E-06    0.192326    0.254325  0.2845 -0.2090  0.3992  0.2089  0.3018  0.3250  0.4064  0.2169  0.2640  0.2502  0.1525  0.1170  0.2127  0.0329  0.0419  0.0836  0.0748  0.1661  0.0327  0.0857
  18  9.3518E-07    0.190260    0.253007  0.2845 -0.2089  0.3993  0.2088  0.3016  0.3249  0.4061  0.2169  0.2635  0.2501  0.1524  0.1170  0.2133  0.0328  0.0417  0.0833  0.0745  0.1670  0.0325  0.0856
  19  6.3965E-07    0.188977    0.252657  0.2845 -0.2088  0.3993  0.2088  0.3015  0.3249  0.4060  0.2169  0.2634  0.2500  0.1523  0.1170  0.2135  0.0328  0.0416  0.0832  0.0744  0.1675  0.0324  0.0855
  20  5.6718E-07    0.187464    0.251605  0.2845 -0.2087  0.3993  0.2088  0.3014  0.3248  0.4057  0.2169  0.2630  0.2499  0.1522  0.1170  0.2139  0.0328  0.0414  0.0830  0.0741  0.1681  0.0322  0.0854
  21  4.6117E-07    0.186385    0.250967  0.2845 -0.2086  0.3993  0.2089  0.3013  0.3248  0.4055  0.2169  0.2628  0.2499  0.1522  0.1169  0.2141  0.0327  0.0413  0.0828  0.0739  0.1686  0.0321  0.0853
  22  3.7509E-07    0.185398    0.250205  0.2846 -0.2085  0.3994  0.2089  0.3011  0.3247  0.4053  0.2169  0.2626  0.2498  0.1522  0.1169  0.2144  0.0327  0.0412  0.0827  0.0737  0.1691  0.0320  0.0852
  23  3.2877E-07    0.184348    0.249178  0.2846 -0.2084  0.3994  0.2088  0.3008  0.3246  0.4050  0.2170  0.2622  0.2497  0.1523  0.1169  0.2147  0.0326  0.0410  0.0825  0.0734  0.1696  0.0319  0.0850
  24  2.6052E-07    0.183671    0.248900  0.2847 -0.2084  0.3994  0.2089  0.3007  0.3246  0.4049  0.2170  0.2620  0.2497  0.1524  0.1169  0.2148  0.0326  0.0409  0.0824  0.0733  0.1699  0.0318  0.0850
  25  2.9765E-07    0.182812    0.248183  0.2847 -0.2083  0.3994  0.2089  0.3006  0.3245  0.4048  0.2170  0.2618  0.2497  0.1525  0.1169  0.2150  0.0326  0.0408  0.0823  0.0731  0.1703  0.0318  0.0848
  26  2.6009E-07    0.182101    0.247491  0.2847 -0.2082  0.3995  0.2089  0.3005  0.3245  0.4046  0.2170  0.2616  0.2496  0.1525  0.1169  0.2152  0.0326  0.0407  0.0821  0.0729  0.1707  0.0317  0.0848
  27  2.5188E-07    0.181465    0.246924  0.2847 -0.2082  0.3995  0.2089  0.3003  0.3244  0.4045  0.2170  0.2613  0.2496  0.1526  0.1169  0.2153  0.0325  0.0406  0.0820  0.0727  0.1710  0.0316  0.0847
  28  1.7450E-07    0.180728    0.246244  0.2848 -0.2081  0.3995  0.2089  0.3001  0.3243  0.4043  0.2170  0.2610  0.2496  0.1527  0.1169  0.2155  0.0325  0.0405  0.0819  0.0725  0.1714  0.0316  0.0846
  29  2.5394E-07    0.180109    0.245637  0.2847 -0.2081  0.3995  0.2089  0.3000  0.3242  0.4042  0.2170  0.2609  0.2496  0.1527  0.1169  0.2156  0.0325  0.0404  0.0818  0.0723  0.1716  0.0315  0.0845
  30  2.0705E-07    0.179650    0.245207  0.2848 -0.2080  0.3995  0.2090  0.2999  0.3242  0.4041  0.2170  0.2607  0.2495  0.1529  0.1169  0.2157  0.0325  0.0404  0.0817  0.0722  0.1719  0.0314  0.0844
  31  1.5799E-07    0.179272    0.244758  0.2848 -0.2080  0.3995  0.2090  0.2999  0.3242  0.4040  0.2171  0.2604  0.2495  0.1529  0.1169  0.2159  0.0325  0.0403  0.0816  0.0721  0.1720  0.0314  0.0844
  32  1.8554E-07    0.178740    0.244326  0.2848 -0.2079  0.3995  0.2090  0.2998  0.3241  0.4039  0.2171  0.2601  0.2495  0.1530  0.1169  0.2160  0.0324  0.0403  0.0815  0.0719  0.1722  0.0313  0.0843
  33  2.1698E-07    0.178508    0.244093  0.2848 -0.2079  0.3995  0.2090  0.2998  0.3241  0.4038  0.2171  0.2601  0.2495  0.1531  0.1169  0.2161  0.0324  0.0402  0.0815  0.0719  0.1723  0.0313  0.0843
  34  1.4012E-07    0.178204    0.243756  0.2848 -0.2079  0.3995  0.2091  0.2998  0.3241  0.4037  0.2171  0.2598  0.2495  0.1531  0.1169  0.2162  0.0324  0.0402  0.0814  0.0718  0.1725  0.0313  0.0843
  35  2.6927E-07    0.177952    0.243222  0.2848 -0.2078  0.3995  0.2091  0.2997  0.3241  0.4036  0.2171  0.2595  0.2495  0.1532  0.1169  0.2163  0.0324  0.0402  0.0813  0.0716  0.1726  0.0312  0.0842
  36  1.1851E-07    0.177784    0.243084  0.2848 -0.2078  0.3995  0.2091  0.2997  0.3241  0.4036  0.2171  0.2595  0.2495  0.1533  0.1169  0.2163  0.0324  0.0401  0.0813  0.0716  0.1727  0.0312  0.0842
  37  1.8722E-07    0.177468    0.242728  0.2849 -0.2078  0.3995  0.2091  0.2997  0.3240  0.4035  0.2172  0.2592  0.2495  0.1534  0.1169  0.2164  0.0324  0.0401  0.0812  0.0715  0.1728  0.0312  0.0841
  38  1.9839E-07    0.177156    0.242470  0.2849 -0.2077  0.3995  0.2092  0.2997  0.3240  0.4035  0.2172  0.2589  0.2495  0.1534  0.1169  0.2165  0.0324  0.0400  0.0812  0.0713  0.1729  0.0312  0.0841
  39  1.0441E-07    0.177091    0.242208  0.2849 -0.2077  0.3995  0.2092  0.2997  0.3240  0.4035  0.2172  0.2586  0.2495  0.1535  0.1169  0.2165  0.0324  0.0400  0.0812  0.0713  0.1730  0.0311  0.0841
  40  2.1021E-07    0.176680    0.241823  0.2849 -0.2077  0.3995  0.2092  0.2996  0.3240  0.4034  0.2172  0.2585  0.2494  0.1535  0.1169  0.2167  0.0323  0.0400  0.0811  0.0712  0.1732  0.0311  0.0841
  41  8.6838E-08    0.176581    0.241644  0.2849 -0.2077  0.3995  0.2092  0.2996  0.3239  0.4033  0.2172  0.2582  0.2494  0.1536  0.1169  0.2167  0.0323  0.0400  0.0810  0.0711  0.1732  0.0311  0.0840
  42  2.9691E-07    0.176388    0.241370  0.2849 -0.2076  0.3995  0.2093  0.2996  0.3239  0.4033  0.2173  0.2579  0.2494  0.1537  0.1169  0.2168  0.0323  0.0400  0.0810  0.0710  0.1733  0.0310  0.0840
  43  1.2549E-07    0.176161    0.241199  0.2849 -0.2076  0.3995  0.2093  0.2996  0.3239  0.4033  0.2173  0.2579  0.2494  0.1537  0.1169  0.2168  0.0323  0.0399  0.0810  0.0710  0.1734  0.0310  0.0840
  44  1.1020E-07    0.176142    0.241104  0.2849 -0.2076  0.3995  0.2093  0.2996  0.3239  0.4033  0.2173  0.2577  0.2494  0.1537  0.1169  0.2168  0.0323  0.0399  0.0809  0.0709  0.1734  0.0310  0.0840
  45  3.3357E-07    0.175899    0.240868  0.2849 -0.2076  0.3995  0.2093  0.2996  0.3239  0.4032  0.2173  0.2577  0.2494  0.1539  0.1169  0.2169  0.0323  0.0399  0.0809  0.0709  0.1735  0.0310  0.0839
  46  1.1106E-07    0.175626    0.240801  0.2849 -0.2076  0.3995  0.2093  0.2996  0.3239  0.4032  0.2173  0.2573  0.2494  0.1539  0.1169  0.2169  0.0323  0.0399  0.0809  0.0708  0.1736  0.0310  0.0839
  47  1.3428E-07    0.175527    0.240604  0.2849 -0.2075  0.3995  0.2094  0.2996  0.3239  0.4032  0.2173  0.2570  0.2494  0.1539  0.1169  0.2169  0.0323  0.0399  0.0808  0.0707  0.1736  0.0309  0.0839
  48  2.5670E-07    0.175361    0.240456  0.2849 -0.2075  0.3995  0.2094  0.2995  0.3239  0.4031  0.2173  0.2570  0.2494  0.1540  0.1169  0.2170  0.0323  0.0399  0.0808  0.0707  0.1737  0.0309  0.0839
  49  1.1878E-07    0.175090    0.240443  0.2850 -0.2075  0.3995  0.2094  0.2996  0.3239  0.4031  0.2174  0.2567  0.2494  0.1541  0.1170  0.2170  0.0323  0.0398  0.0808  0.0706  0.1737  0.0309  0.0838
  50  2.3527E-07    0.174974    0.240207  0.2850 -0.2075  0.3995  0.2094  0.2996  0.3239  0.4031  0.2174  0.2563  0.2494  0.1541  0.1169  0.2170  0.0323  0.0398  0.0807  0.0706  0.1738  0.0308  0.0838
  51  2.1044E-07    0.174863    0.239991  0.2850 -0.2075  0.3995  0.2094  0.2995  0.3239  0.4031  0.2174  0.2563  0.2494  0.1542  0.1169  0.2170  0.0323  0.0398  0.0807  0.0705  0.1739  0.0308  0.0838
