Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
  25  6.3143E-08    0.196896    0.211816  0.2906 -0.1371  0.4422  0.2585  0.4463  0.4923  0.1170  0.2712  0.0338  0.0856
  26  5.4856E-08    0.196901    0.211807  0.2907 -0.1371  0.4422  0.2586  0.4462  0.4922  0.1170  0.2714  0.0338  0.0855
  27  5.2681E-08    0.196881    0.211796  0.2907 -0.1371  0.4422  0.2587  0.4462  0.4922  0.1170  0.2715  0.0338  0.0854
  28  6.1457E-08    0.196834    0.211789  0.2907 -0.1370  0.4422  0.2587  0.4461  0.4922  0.1170  0.2717  0.0338  0.0853
  29  4.7702E-08    0.196806    0.211756  0.2907 -0.1370  0.4422  0.2588  0.4460  0.4922  0.1170  0.2718  0.0338  0.0852
  30  5.6370E-08    0.196738    0.211748  0.2908 -0.1370  0.4422  0.2589  0.4460  0.4922  0.1170  0.2719  0.0338  0.0851
  31  5.3112E-08    0.196687    0.211716  0.2908 -0.1369  0.4422  0.2589  0.4459  0.4922  0.1170  0.2720  0.0338  0.0850
  32  4.5452E-08    0.196645    0.211668  0.2908 -0.1369  0.4422  0.2589  0.4459  0.4922  0.1170  0.2721  0.0338  0.0849
  33  4.6580E-08    0.196594    0.211628  0.2908 -0.1369  0.4422  0.2590  0.4458  0.4922  0.1170  0.2722  0.0338  0.0848
  34  5.3313E-08    0.196518    0.211601  0.2908 -0.1369  0.4422  0.2590  0.4458  0.4922  0.1170  0.2723  0.0338  0.0848
  35  4.9701E-08    0.196460    0.211562  0.2908 -0.1369  0.4422  0.2590  0.4457  0.4923  0.1170  0.2723  0.0338  0.0847
  36  3.9817E-08    0.196428    0.211494  0.2908 -0.1368  0.4421  0.2590  0.4457  0.4923  0.1170  0.2724  0.0338  0.0846
  37  3.9216E-08    0.196399    0.211422  0.2908 -0.1368  0.4421  0.2591  0.4456  0.4923  0.1169  0.2725  0.0338  0.0845
  38  4.7941E-08    0.196338    0.211379  0.2908 -0.1368  0.4421  0.2591  0.4456  0.4923  0.1170  0.2725  0.0338  0.0845
  39  4.7824E-08    0.196278    0.211335  0.2908 -0.1368  0.4421  0.2591  0.4456  0.4923  0.1170  0.2726  0.0338  0.0844
  40  4.9717E-08    0.196204    0.211305  0.2908 -0.1368  0.4421  0.2591  0.4455  0.4923  0.1170  0.2726  0.0337  0.0843
  41  4.5939E-08    0.196157    0.211251  0.2908 -0.1368  0.4421  0.2591  0.4455  0.4924  0.1170  0.2727  0.0337  0.0842
  42  5.8607E-08    0.196055    0.211249  0.2908 -0.1368  0.4421  0.2592  0.4455  0.4924  0.1170  0.2727  0.0337  0.0842
