Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
  29  4.7478E-08    0.195757    0.208911  0.2923 -0.1352  0.4427  0.2552  0.4445  0.4913  0.1169  0.2755  0.0326  0.0837
  30  5.5456E-08    0.195699    0.208884  0.2923 -0.1351  0.4426  0.2552  0.4445  0.4913  0.1169  0.2757  0.0326  0.0836
  31  5.4478E-08    0.195634    0.208856  0.2923 -0.1351  0.4426  0.2553  0.4444  0.4913  0.1169  0.2758  0.0326  0.0835
  32  4.6023E-08    0.195589    0.208802  0.2923 -0.1351  0.4426  0.2553  0.4444  0.4913  0.1169  0.2759  0.0326  0.0834
  33  4.7246E-08    0.195539    0.208750  0.2923 -0.1351  0.4426  0.2553  0.4443  0.4913  0.1169  0.2760  0.0325  0.0833
  34  5.2659E-08    0.195467    0.208716  0.2923 -0.1350  0.4426  0.2553  0.4442  0.4913  0.1169  0.2760  0.0325  0.0832
  35  5.0974E-08    0.195402    0.208669  0.2923 -0.1350  0.4426  0.2554  0.4442  0.4913  0.1169  0.2761  0.0325  0.0831
  36  3.9550E-08    0.195376    0.208589  0.2924 -0.1350  0.4426  0.2554  0.4441  0.4913  0.1169  0.2762  0.0325  0.0831
  37  4.0714E-08    0.195332    0.208523  0.2924 -0.1350  0.4426  0.2554  0.4441  0.4914  0.1169  0.2763  0.0325  0.0830
  38  4.8716E-08    0.195271    0.208472  0.2924 -0.1350  0.4425  0.2554  0.4441  0.4914  0.1169  0.2763  0.0325  0.0829
  39  4.8124E-08    0.195208    0.208426  0.2924 -0.1350  0.4425  0.2554  0.4440  0.4914  0.1169  0.2764  0.0325  0.0828
  40  4.9207E-08    0.195141    0.208384  0.2924 -0.1350  0.4425  0.2554  0.4440  0.4914  0.1169  0.2765  0.0325  0.0828
  41  5.6688E-08    0.195053    0.208363  0.2924 -0.1349  0.4425  0.2555  0.4439  0.4914  0.1169  0.2765  0.0325  0.0827
  42  4.8194E-08    0.194995    0.208314  0.2924 -0.1349  0.4425  0.2555  0.4439  0.4914  0.1169  0.2766  0.0325  0.0826
  43  3.7433E-08    0.194968    0.208237  0.2924 -0.1349  0.4425  0.2555  0.4438  0.4914  0.1169  0.2766  0.0325  0.0826
