Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
  51  1.0047E-06    0.268677    0.306914  0.3587 -0.1211  0.4376  0.2751  0.4525  0.3443  0.3236 -0.0815  0.3755  0.2417  0.1087  0.2189  0.0370  0.0771  0.1776  0.0436  0.0097  0.0858
  52  2.0953E-06    0.267449    0.305553  0.3590 -0.1205  0.4378  0.2747  0.4524  0.3438  0.3229 -0.0851  0.3755  0.2422  0.1087  0.2192  0.0367  0.0767  0.1784  0.0433  0.0094  0.0854
  53  3.1709E-06    0.266543    0.304331  0.3593 -0.1199  0.4380  0.2742  0.4522  0.3432  0.3223 -0.0887  0.3756  0.2423  0.1087  0.2199  0.0364  0.0765  0.1790  0.0429  0.0092  0.0851
  54  4.2305E-06    0.265839    0.303359  0.3596 -0.1194  0.4382  0.2738  0.4521  0.3427  0.3214 -0.0917  0.3756  0.2423  0.1087  0.2209  0.0361  0.0763  0.1794  0.0425  0.0089  0.0849
  55  1.5208E-07    0.264500    0.301600  0.3597 -0.1191  0.4382  0.2732  0.4518  0.3420  0.3205 -0.0940  0.3755  0.2426  0.1087  0.2213  0.0358  0.0758  0.1803  0.0422  0.0087  0.0845
  56  1.5375E-06    0.263382    0.300281  0.3596 -0.1191  0.4381  0.2726  0.4514  0.3412  0.3194 -0.0948  0.3753  0.2428  0.1088  0.2219  0.0355  0.0755  0.1810  0.0418  0.0085  0.0842
  57  1.3396E-06    0.262192    0.298771  0.3596 -0.1191  0.4381  0.2720  0.4510  0.3404  0.3186 -0.0964  0.3751  0.2430  0.1088  0.2225  0.0352  0.0752  0.1817  0.0416  0.0083  0.0838
  58  9.3019E-07    0.260766    0.296977  0.3596 -0.1191  0.4381  0.2715  0.4506  0.3396  0.3177 -0.0982  0.3748  0.2434  0.1088  0.2229  0.0349  0.0747  0.1825  0.0412  0.0081  0.0835
  59  3.3042E-06    0.260007    0.296059  0.3595 -0.1192  0.4380  0.2709  0.4503  0.3390  0.3166 -0.0991  0.3746  0.2435  0.1088  0.2234  0.0347  0.0745  0.1829  0.0409  0.0079  0.0833
  60  2.5721E-06    0.259228    0.295031  0.3594 -0.1194  0.4379  0.2703  0.4500  0.3383  0.3155 -0.0995  0.3744  0.2436  0.1089  0.2240  0.0344  0.0743  0.1833  0.0407  0.0078  0.0831
  61  9.5294E-08    0.257931    0.293362  0.3589 -0.1201  0.4375  0.2694  0.4492  0.3372  0.3142 -0.0967  0.3738  0.2438  0.1089  0.2241  0.0342  0.0739  0.1842  0.0404  0.0077  0.0828
