Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
  11  5.0857E-06    0.213927    0.269135  0.2985 -0.1769  0.4123  0.2290  0.4246  0.2385  0.3381  0.3263  0.2935  0.0428  0.2229  0.1144  0.2177  0.0333  0.0758  0.1623  0.0737  0.0445  0.0355  0.0198
  12  3.8503E-06    0.210367    0.267245  0.2992 -0.1758  0.4130  0.2299  0.4245  0.2391  0.3385  0.3260  0.2925  0.0378  0.2228  0.1144  0.2188  0.0332  0.0751  0.1640  0.0733  0.0440  0.0349  0.0194
  13  2.6369E-06    0.207467    0.265500  0.2999 -0.1747  0.4137  0.2306  0.4245  0.2397  0.3388  0.3257  0.2915  0.0326  0.2229  0.1144  0.2197  0.0330  0.0746  0.1655  0.0730  0.0436  0.0345  0.0189
  14  1.8896E-06    0.205105    0.263900  0.3005 -0.1738  0.4143  0.2313  0.4244  0.2402  0.3392  0.3255  0.2908  0.0275  0.2230  0.1144  0.2203  0.0328  0.0741  0.1669  0.0727  0.0432  0.0341  0.0186
  15  1.5017E-06    0.203114    0.262232  0.3010 -0.1730  0.4148  0.2317  0.4244  0.2406  0.3395  0.3253  0.2901  0.0234  0.2230  0.1144  0.2208  0.0327  0.0736  0.1680  0.0725  0.0428  0.0338  0.0183
  16  1.2585E-06    0.201345    0.260258  0.3015 -0.1722  0.4153  0.2322  0.4243  0.2410  0.3398  0.3251  0.2895  0.0190  0.2230  0.1144  0.2213  0.0325  0.0731  0.1693  0.0723  0.0425  0.0334  0.0181
  17  9.6417E-07    0.200070    0.258703  0.3018 -0.1716  0.4157  0.2326  0.4241  0.2412  0.3401  0.3249  0.2890  0.0161  0.2228  0.1144  0.2217  0.0324  0.0728  0.1703  0.0722  0.0422  0.0331  0.0180
  18  7.9365E-07    0.198878    0.257025  0.3021 -0.1711  0.4160  0.2329  0.4240  0.2415  0.3403  0.3248  0.2885  0.0134  0.2227  0.1143  0.2220  0.0323  0.0724  0.1713  0.0721  0.0420  0.0329  0.0180
  19  6.4540E-07    0.197662    0.255223  0.3024 -0.1706  0.4163  0.2332  0.4239  0.2417  0.3405  0.3247  0.2881  0.0101  0.2228  0.1143  0.2222  0.0322  0.0720  0.1722  0.0719  0.0417  0.0327  0.0178
  20  5.1536E-07    0.196930    0.254163  0.3026 -0.1703  0.4166  0.2335  0.4239  0.2419  0.3406  0.3246  0.2879  0.0084  0.2228  0.1143  0.2224  0.0322  0.0718  0.1729  0.0718  0.0416  0.0325  0.0178
  21  4.0440E-07    0.196146    0.253042  0.3028 -0.1699  0.4168  0.2337  0.4238  0.2420  0.3407  0.3246  0.2876  0.0064  0.2227  0.1143  0.2225  0.0321  0.0716  0.1736  0.0717  0.0415  0.0323  0.0177
  22  3.6720E-07    0.195115    0.251506  0.3030 -0.1695  0.4170  0.2339  0.4237  0.2422  0.3409  0.3245  0.2873  0.0041  0.2228  0.1143  0.2226  0.0320  0.0713  0.1744  0.0716  0.0413  0.0321  0.0176
  23  2.8559E-07    0.194427    0.250585  0.3031 -0.1693  0.4172  0.2341  0.4237  0.2423  0.3409  0.3245  0.2871  0.0027  0.2229  0.1143  0.2226  0.0320  0.0711  0.1750  0.0715  0.0411  0.0320  0.0175
  24  2.0359E-07    0.193804    0.249732  0.3032 -0.1691  0.4173  0.2342  0.4236  0.2424  0.3410  0.3244  0.2869  0.0016  0.2229  0.1142  0.2227  0.0319  0.0709  0.1755  0.0715  0.0410  0.0319  0.0174
  25  1.8039E-07    0.192844    0.248237  0.3033 -0.1688  0.4174  0.2344  0.4235  0.2425  0.3411  0.3244  0.2867 -0.0001  0.2230  0.1142  0.2227  0.0319  0.0707  0.1762  0.0714  0.0409  0.0317  0.0173
  26  4.0548E-07    0.192533    0.247717  0.3034 -0.1687  0.4175  0.2345  0.4235  0.2425  0.3411  0.3244  0.2865 -0.0005  0.2232  0.1142  0.2227  0.0319  0.0705  0.1764  0.0713  0.0408  0.0316  0.0173
  27  4.0110E-07    0.191847    0.246742  0.3035 -0.1685  0.4176  0.2346  0.4234  0.2427  0.3412  0.3244  0.2864 -0.0019  0.2232  0.1142  0.2228  0.0318  0.0703  0.1769  0.0713  0.0407  0.0315  0.0171
  28  2.5150E-07    0.191167    0.245711  0.3036 -0.1683  0.4177  0.2347  0.4233  0.2428  0.3412  0.3243  0.2862 -0.0029  0.2234  0.1142  0.2228  0.0318  0.0702  0.1774  0.0712  0.0406  0.0314  0.0170
  29  1.3578E-07    0.190882    0.245274  0.3036 -0.1682  0.4178  0.2348  0.4233  0.2428  0.3412  0.3243  0.2861 -0.0034  0.2235  0.1142  0.2228  0.0318  0.0701  0.1776  0.0712  0.0405  0.0313  0.0170
  30  1.8878E-07    0.190364    0.244728  0.3037 -0.1681  0.4179  0.2349  0.4233  0.2428  0.3413  0.3243  0.2861 -0.0040  0.2235  0.1142  0.2228  0.0317  0.0700  0.1779  0.0712  0.0404  0.0312  0.0169
  31  1.0910E-07    0.189833    0.243997  0.3037 -0.1680  0.4179  0.2350  0.4232  0.2429  0.3413  0.3243  0.2860 -0.0047  0.2236  0.1142  0.2229  0.0317  0.0698  0.1783  0.0712  0.0403  0.0312  0.0168
  32  4.3045E-07    0.189524    0.243648  0.3038 -0.1679  0.4180  0.2350  0.4232  0.2429  0.3413  0.3243  0.2859 -0.0053  0.2237  0.1143  0.2229  0.0317  0.0697  0.1784  0.0711  0.0403  0.0311  0.0168
  33  1.5106E-07    0.189277    0.243261  0.3038 -0.1679  0.4180  0.2351  0.4231  0.2429  0.3414  0.3243  0.2859 -0.0056  0.2237  0.1142  0.2230  0.0317  0.0696  0.1786  0.0711  0.0402  0.0311  0.0168
  34  4.2959E-07    0.188999    0.243085  0.3038 -0.1679  0.4180  0.2351  0.4231  0.2429  0.3414  0.3243  0.2859 -0.0057  0.2237  0.1143  0.2229  0.0317  0.0696  0.1787  0.0711  0.0402  0.0311  0.0168
  35  1.3324E-07    0.188940    0.242883  0.3038 -0.1678  0.4181  0.2352  0.4231  0.2430  0.3414  0.3243  0.2859 -0.0060  0.2238  0.1142  0.2229  0.0317  0.0695  0.1788  0.0711  0.0402  0.0310  0.0167
  36  7.2957E-08    0.188848    0.242563  0.3039 -0.1678  0.4181  0.2352  0.4231  0.2430  0.3414  0.3243  0.2858 -0.0064  0.2238  0.1142  0.2229  0.0317  0.0695  0.1789  0.0711  0.0401  0.0310  0.0167
