Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
  38  6.1582E-06    0.213480    0.294919  0.2777 -0.2130  0.3964  0.2361  0.4172  0.3306  0.3169  0.2219  0.2467  0.1152  0.2065  0.0427  0.0808  0.0904  0.0798  0.1378
  39  1.8215E-06    0.212768    0.294050  0.2779 -0.2126  0.3966  0.2357  0.4169  0.3305  0.3167  0.2221  0.2468  0.1152  0.2069  0.0424  0.0805  0.0901  0.0795  0.1386
  40  1.2894E-06    0.212188    0.293122  0.2782 -0.2122  0.3969  0.2354  0.4166  0.3304  0.3165  0.2224  0.2468  0.1151  0.2074  0.0421  0.0802  0.0898  0.0792  0.1394
  41  8.0496E-07    0.211703    0.292210  0.2784 -0.2117  0.3971  0.2351  0.4163  0.3303  0.3163  0.2225  0.2468  0.1151  0.2078  0.0418  0.0799  0.0895  0.0789  0.1402
  42  6.3962E-07    0.211176    0.291314  0.2786 -0.2113  0.3974  0.2347  0.4160  0.3303  0.3162  0.2227  0.2468  0.1150  0.2081  0.0415  0.0797  0.0893  0.0787  0.1409
  43  5.3876E-07    0.210613    0.290430  0.2788 -0.2109  0.3976  0.2344  0.4158  0.3302  0.3161  0.2229  0.2467  0.1150  0.2085  0.0413  0.0794  0.0890  0.0785  0.1416
  44  4.8109E-07    0.209979    0.289619  0.2791 -0.2105  0.3979  0.2340  0.4155  0.3301  0.3159  0.2230  0.2467  0.1149  0.2088  0.0410  0.0792  0.0888  0.0782  0.1423
  45  4.6700E-07    0.209462    0.288686  0.2793 -0.2101  0.3981  0.2336  0.4153  0.3301  0.3158  0.2231  0.2467  0.1149  0.2092  0.0408  0.0790  0.0886  0.0780  0.1430
  46  4.3433E-07    0.208821    0.287837  0.2795 -0.2096  0.3984  0.2332  0.4151  0.3301  0.3156  0.2233  0.2467  0.1148  0.2095  0.0405  0.0787  0.0884  0.0777  0.1438
  47  5.0915E-07    0.208101    0.286882  0.2797 -0.2091  0.3986  0.2325  0.4149  0.3301  0.3155  0.2234  0.2466  0.1148  0.2098  0.0402  0.0785  0.0881  0.0775  0.1445
  48  4.2515E-07    0.207473    0.285934  0.2799 -0.2087  0.3989  0.2320  0.4147  0.3300  0.3154  0.2236  0.2466  0.1148  0.2101  0.0399  0.0783  0.0879  0.0772  0.1452
  49  3.9174E-07    0.206859    0.284980  0.2802 -0.2083  0.3991  0.2315  0.4144  0.3300  0.3152  0.2237  0.2465  0.1147  0.2104  0.0396  0.0781  0.0877  0.0770  0.1459
  50  4.1606E-07    0.206124    0.284012  0.2804 -0.2078  0.3994  0.2309  0.4142  0.3300  0.3151  0.2238  0.2465  0.1147  0.2107  0.0394  0.0779  0.0875  0.0767  0.1467
  51  3.7911E-07    0.205506    0.282936  0.2806 -0.2074  0.3996  0.2304  0.4140  0.3300  0.3149  0.2239  0.2464  0.1146  0.2110  0.0391  0.0776  0.0872  0.0765  0.1474
