Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
  13  4.7473E-06    0.274180    0.336929  0.2793 -0.2106  0.3975  0.2942  0.4398  0.3433  0.3209  0.2709  0.1180  0.2094  0.0616  0.0983  0.1058  0.1359
  14  2.4376E-06    0.272819    0.336546  0.2794 -0.2105  0.3973  0.2926  0.4395  0.3432  0.3223  0.2713  0.1178  0.2103  0.0613  0.0980  0.1054  0.1359
  15  1.4426E-06    0.271840    0.336054  0.2796 -0.2104  0.3971  0.2909  0.4391  0.3430  0.3234  0.2718  0.1177  0.2109  0.0609  0.0977  0.1051  0.1360
  16  9.2737E-07    0.271013    0.335560  0.2797 -0.2103  0.3970  0.2892  0.4388  0.3429  0.3242  0.2722  0.1176  0.2113  0.0607  0.0974  0.1047  0.1361
  17  5.8256E-07    0.270260    0.335096  0.2798 -0.2102  0.3969  0.2874  0.4385  0.3427  0.3249  0.2726  0.1175  0.2116  0.0604  0.0971  0.1044  0.1364
  18  3.9465E-07    0.269619    0.334608  0.2798 -0.2100  0.3968  0.2857  0.4381  0.3426  0.3253  0.2730  0.1174  0.2118  0.0602  0.0968  0.1042  0.1367
  19  2.8380E-07    0.269018    0.334109  0.2799 -0.2098  0.3968  0.2841  0.4378  0.3424  0.3256  0.2734  0.1173  0.2118  0.0600  0.0965  0.1039  0.1370
  20  2.1588E-07    0.268420    0.333618  0.2800 -0.2096  0.3968  0.2826  0.4375  0.3422  0.3258  0.2738  0.1173  0.2119  0.0597  0.0963  0.1037  0.1374
  21  1.5978E-07    0.267847    0.333092  0.2800 -0.2094  0.3968  0.2812  0.4372  0.3421  0.3259  0.2742  0.1172  0.2119  0.0595  0.0960  0.1034  0.1378
  22  1.2856E-07    0.267278    0.332595  0.2800 -0.2092  0.3968  0.2798  0.4369  0.3419  0.3259  0.2746  0.1171  0.2119  0.0593  0.0958  0.1032  0.1382
  23  8.4537E-08    0.266732    0.332065  0.2800 -0.2090  0.3968  0.2785  0.4366  0.3418  0.3258  0.2751  0.1170  0.2119  0.0591  0.0955  0.1029  0.1386
  24  7.8061E-08    0.266179    0.331527  0.2801 -0.2088  0.3968  0.2772  0.4363  0.3416  0.3257  0.2755  0.1169  0.2119  0.0588  0.0952  0.1027  0.1391
  25  1.5323E-07    0.265615    0.330932  0.2801 -0.2085  0.3969  0.2759  0.4360  0.3415  0.3255  0.2759  0.1168  0.2119  0.0585  0.0950  0.1024  0.1395
  26  1.0671E-07    0.265054    0.330391  0.2802 -0.2083  0.3969  0.2747  0.4357  0.3413  0.3253  0.2763  0.1168  0.2119  0.0582  0.0947  0.1021  0.1400
  27  1.5563E-07    0.264494    0.329802  0.2802 -0.2080  0.3970  0.2734  0.4354  0.3412  0.3251  0.2767  0.1167  0.2119  0.0579  0.0944  0.1019  0.1405
  28  2.2534E-07    0.263993    0.329307  0.2803 -0.2077  0.3971  0.2723  0.4351  0.3411  0.3248  0.2772  0.1166  0.2119  0.0576  0.0942  0.1016  0.1409
  29  7.8803E-08    0.263409    0.328767  0.2804 -0.2075  0.3971  0.2712  0.4348  0.3409  0.3245  0.2776  0.1165  0.2118  0.0574  0.0939  0.1014  0.1414
  30  8.7371E-08    0.262812    0.328216  0.2804 -0.2072  0.3972  0.2701  0.4345  0.3408  0.3242  0.2781  0.1165  0.2117  0.0571  0.0937  0.1011  0.1419
  31  3.4869E-07    0.262338    0.327749  0.2805 -0.2070  0.3973  0.2690  0.4343  0.3406  0.3239  0.2784  0.1164  0.2118  0.0568  0.0935  0.1008  0.1423
  32  1.0317E-07    0.261850    0.327096  0.2806 -0.2067  0.3974  0.2680  0.4340  0.3405  0.3236  0.2789  0.1164  0.2118  0.0565  0.0932  0.1006  0.1428
  33  1.2633E-07    0.261355    0.326452  0.2806 -0.2064  0.3975  0.2670  0.4337  0.3404  0.3232  0.2793  0.1163  0.2118  0.0562  0.0929  0.1003  0.1433
  34  3.9743E-07    0.260868    0.325970  0.2807 -0.2061  0.3976  0.2661  0.4334  0.3403  0.3229  0.2797  0.1162  0.2118  0.0558  0.0927  0.1000  0.1437
  35  3.7941E-07    0.260348    0.325492  0.2808 -0.2058  0.3977  0.2651  0.4331  0.3402  0.3226  0.2801  0.1162  0.2119  0.0555  0.0924  0.0998  0.1442
  36  4.1807E-07    0.259861    0.324924  0.2810 -0.2054  0.3979  0.2640  0.4329  0.3401  0.3223  0.2804  0.1161  0.2120  0.0551  0.0922  0.0995  0.1446
  37  3.9172E-07    0.259345    0.324379  0.2811 -0.2051  0.3980  0.2630  0.4326  0.3400  0.3220  0.2809  0.1161  0.2121  0.0547  0.0919  0.0992  0.1451
  38  2.3237E-07    0.258865    0.323774  0.2812 -0.2048  0.3981  0.2622  0.4323  0.3399  0.3217  0.2812  0.1160  0.2122  0.0544  0.0917  0.0990  0.1456
  39  2.2693E-07    0.258392    0.323076  0.2813 -0.2045  0.3983  0.2614  0.4320  0.3397  0.3213  0.2816  0.1159  0.2122  0.0540  0.0914  0.0987  0.1461
  40  3.2809E-07    0.257884    0.322514  0.2814 -0.2041  0.3984  0.2606  0.4317  0.3396  0.3209  0.2820  0.1159  0.2123  0.0537  0.0912  0.0984  0.1466
  41  1.4312E-07    0.257305    0.321819  0.2815 -0.2038  0.3985  0.2598  0.4314  0.3395  0.3205  0.2824  0.1159  0.2123  0.0533  0.0909  0.0981  0.1472
  42  3.5462E-07    0.256666    0.321195  0.2816 -0.2035  0.3987  0.2590  0.4311  0.3394  0.3201  0.2828  0.1158  0.2123  0.0530  0.0906  0.0978  0.1477
  43  3.0014E-07    0.256209    0.320535  0.2818 -0.2031  0.3988  0.2582  0.4309  0.3393  0.3197  0.2832  0.1158  0.2124  0.0526  0.0903  0.0976  0.1482
  44  3.0597E-07    0.255644    0.319879  0.2819 -0.2028  0.3989  0.2575  0.4306  0.3392  0.3193  0.2835  0.1157  0.2125  0.0522  0.0900  0.0973  0.1487
  45  2.4553E-07    0.255073    0.319149  0.2820 -0.2024  0.3991  0.2567  0.4303  0.3391  0.3189  0.2839  0.1157  0.2125  0.0519  0.0897  0.0970  0.1493
  46  3.0383E-07    0.254467    0.318407  0.2821 -0.2021  0.3992  0.2560  0.4300  0.3390  0.3184  0.2844  0.1156  0.2126  0.0515  0.0894  0.0967  0.1498
  47  2.8406E-07    0.253811    0.317738  0.2823 -0.2017  0.3994  0.2553  0.4297  0.3389  0.3180  0.2847  0.1156  0.2126  0.0511  0.0891  0.0964  0.1504
  48  2.3480E-07    0.253221    0.316940  0.2824 -0.2013  0.3995  0.2546  0.4294  0.3388  0.3175  0.2851  0.1156  0.2127  0.0507  0.0888  0.0961  0.1510
  49  3.8119E-07    0.252604    0.316173  0.2826 -0.2009  0.3997  0.2538  0.4291  0.3387  0.3171  0.2855  0.1155  0.2128  0.0503  0.0885  0.0958  0.1515
  50  3.6934E-07    0.252039    0.315428  0.2827 -0.2005  0.3999  0.2532  0.4288  0.3386  0.3166  0.2858  0.1155  0.2129  0.0500  0.0883  0.0955  0.1521
  51  2.8074E-07    0.251383    0.314648  0.2829 -0.2002  0.4000  0.2526  0.4285  0.3385  0.3161  0.2862  0.1155  0.2129  0.0496  0.0880  0.0952  0.1527
