Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
  53  1.7314E-07    0.132481    0.223533  0.0328  0.2336  0.1213  0.2082  0.1198  0.0933  0.0846  0.0409  0.0814  0.0544  0.1113  0.1454  0.0756  0.2188  0.1189  0.0385  0.0947  0.1425
  54  1.9073E-07    0.132220    0.223195  0.0327  0.2335  0.1214  0.2082  0.1198  0.0933  0.0844  0.0408  0.0815  0.0543  0.1113  0.1455  0.0756  0.2187  0.1188  0.0385  0.0947  0.1426
  55  1.2281E-07    0.132309    0.223062  0.0325  0.2335  0.1215  0.2082  0.1198  0.0933  0.0841  0.0407  0.0816  0.0543  0.1112  0.1457  0.0755  0.2186  0.1188  0.0385  0.0947  0.1426
  56  1.6552E-07    0.132124    0.222608  0.0324  0.2334  0.1215  0.2081  0.1199  0.0933  0.0838  0.0407  0.0816  0.0543  0.1112  0.1458  0.0755  0.2186  0.1187  0.0385  0.0948  0.1427
  57  5.7561E-07    0.131834    0.222549  0.0322  0.2334  0.1216  0.2082  0.1199  0.0933  0.0835  0.0407  0.0817  0.0542  0.1111  0.1459  0.0756  0.2186  0.1187  0.0385  0.0947  0.1427
  58  2.3091E-07    0.131547    0.222069  0.0320  0.2333  0.1217  0.2081  0.1199  0.0933  0.0832  0.0406  0.0818  0.0542  0.1111  0.1460  0.0755  0.2186  0.1186  0.0384  0.0947  0.1429
  59  4.6656E-07    0.131535    0.221926  0.0319  0.2333  0.1218  0.2081  0.1199  0.0933  0.0829  0.0406  0.0818  0.0541  0.1110  0.1461  0.0755  0.2186  0.1186  0.0384  0.0947  0.1429
  60  1.3525E-07    0.131495    0.221762  0.0317  0.2333  0.1219  0.2081  0.1200  0.0933  0.0825  0.0405  0.0819  0.0541  0.1109  0.1462  0.0755  0.2185  0.1186  0.0384  0.0947  0.1430
  61  6.2162E-07    0.131091    0.221494  0.0315  0.2332  0.1220  0.2081  0.1200  0.0932  0.0821  0.0405  0.0820  0.0541  0.1109  0.1463  0.0756  0.2185  0.1185  0.0384  0.0947  0.1431
  62  1.2551E-07    0.130995    0.221169  0.0313  0.2332  0.1221  0.2081  0.1200  0.0932  0.0817  0.0405  0.0820  0.0540  0.1108  0.1464  0.0755  0.2184  0.1185  0.0383  0.0947  0.1432
