Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
  46  1.1804E-06    0.180622    0.264628  0.0611  0.1993  0.0838  0.1563  0.0949  0.0644  0.1044  0.0816  0.1111  0.2962  0.0783  0.2338  0.1374  0.0616
  47  3.1059E-07    0.180525    0.264186  0.0615  0.1992  0.0837  0.1560  0.0948  0.0643  0.1042  0.0818  0.1110  0.2961  0.0782  0.2338  0.1373  0.0618
  48  2.4355E-07    0.180390    0.263747  0.0618  0.1991  0.0837  0.1556  0.0947  0.0642  0.1041  0.0820  0.1109  0.2962  0.0781  0.2336  0.1372  0.0619
  49  1.6484E-07    0.180319    0.263411  0.0622  0.1990  0.0837  0.1553  0.0947  0.0641  0.1040  0.0822  0.1108  0.2961  0.0780  0.2335  0.1372  0.0621
  50  2.6580E-06    0.180423    0.263635  0.0622  0.1990  0.0836  0.1551  0.0946  0.0640  0.1045  0.0822  0.1110  0.2958  0.0780  0.2334  0.1371  0.0625
  51  9.6562E-07    0.180218    0.263179  0.0625  0.1989  0.0835  0.1548  0.0946  0.0639  0.1045  0.0823  0.1109  0.2958  0.0779  0.2334  0.1369  0.0627
  52  1.7473E-07    0.180145    0.262998  0.0629  0.1989  0.0835  0.1545  0.0945  0.0638  0.1045  0.0825  0.1109  0.2956  0.0778  0.2333  0.1369  0.0629
  53  1.1452E-07    0.180078    0.262718  0.0633  0.1988  0.0835  0.1543  0.0945  0.0636  0.1044  0.0827  0.1108  0.2955  0.0777  0.2333  0.1368  0.0631
  54  1.7243E-07    0.179864    0.262243  0.0637  0.1987  0.0835  0.1540  0.0944  0.0635  0.1043  0.0828  0.1107  0.2955  0.0777  0.2332  0.1368  0.0633
  55  1.8139E-07    0.179541    0.261927  0.0641  0.1986  0.0834  0.1537  0.0943  0.0634  0.1042  0.0830  0.1106  0.2954  0.0775  0.2332  0.1367  0.0635
  56  2.7619E-07    0.179270    0.261568  0.0645  0.1985  0.0834  0.1535  0.0942  0.0632  0.1041  0.0832  0.1105  0.2954  0.0774  0.2331  0.1366  0.0637
  57  1.4650E-07    0.179189    0.261155  0.0649  0.1984  0.0833  0.1532  0.0942  0.0631  0.1040  0.0834  0.1105  0.2954  0.0773  0.2330  0.1365  0.0639
  58  5.7311E-08    0.179046    0.260748  0.0653  0.1984  0.0833  0.1529  0.0941  0.0629  0.1039  0.0836  0.1104  0.2953  0.0772  0.2329  0.1364  0.0641
  59  1.1280E-07    0.178895    0.260373  0.0657  0.1983  0.0833  0.1527  0.0940  0.0627  0.1038  0.0838  0.1103  0.2953  0.0771  0.2328  0.1363  0.0643
  60  1.5600E-07    0.178620    0.259897  0.0661  0.1982  0.0832  0.1524  0.0940  0.0626  0.1037  0.0840  0.1102  0.2953  0.0770  0.2327  0.1362  0.0645
  61  6.1702E-08    0.178518    0.259540  0.0665  0.1981  0.0832  0.1522  0.0939  0.0624  0.1036  0.0843  0.1102  0.2952  0.0769  0.2326  0.1361  0.0647
